K_learn,s,n_iter,als_iters,baseline_rmse_final_mean,baseline_rmse_final_std,coherence_baseline_mean,coherence_baseline_std,coherence_masked_mean,coherence_masked_std,final_gap_pct_mean,final_gap_pct_std,full_rmse_baseline_mean,full_rmse_baseline_std,full_rmse_masked_mean,full_rmse_masked_std,masked_rmse_final_mean,masked_rmse_final_std,num_seeds
40,3,30,8,0.15880575027285915,0.0,0.631008672786764,0.0,0.6793119898891745,0.0,22.549724784417847,0.0,0.2538616611387446,0.0,0.3079530204231471,0.0,0.12299549064449951,0.0,1
40,3,30,15,0.15880575026550112,0.0,0.6310086727878197,0.0,0.6404734645502337,0.0,22.01337064244927,0.0,0.2538616611333754,0.0,0.2992855574600684,0.0,0.123847251858034,0.0,1
40,3,15,8,0.16134671226764116,0.0,0.6547435157656173,0.0,0.6581053468809074,0.0,21.648107752267933,0.0,0.25574981548901915,0.0,0.3060541751959983,0.0,0.1264182021412005,0.0,1
40,3,15,15,0.16134671211961624,0.0,0.6547435158829733,0.0,0.6480401267838459,0.0,21.39401176895488,0.0,0.25574981548932285,0.0,0.30398280021488006,0.0,0.1268281775399238,0.0,1
60,2,30,8,0.1756454770219946,0.0,0.6967834502182407,0.0,0.6804233912778844,0.0,20.719021953871298,0.0,0.25952794368270804,0.0,0.31199989920332794,0.0,0.13925345207682557,0.0,1
60,2,30,15,0.1756454770816855,0.0,0.6967834514364935,0.0,0.7238255471069488,0.0,18.664424656931665,0.0,0.2595279436557511,0.0,0.32089819614940696,0.0,0.14286225934846614,0.0,1
60,2,15,8,0.17575109676732525,0.0,0.7073746151998551,0.0,0.6759006364583694,0.0,18.644723833517716,0.0,0.25966343515327406,0.0,0.30893826604018765,0.0,0.14298279014067897,0.0,1
60,2,15,15,0.17575109137199627,0.0,0.7073745662988166,0.0,0.7111308244224875,0.0,17.616743908872056,0.0,0.25966342680995236,0.0,0.3736556251632064,0.0,0.14478947168794395,0.0,1
50,2,30,15,0.18241296041707933,0.0,0.751046177368862,0.0,0.7235512362642027,0.0,17.17114236770546,0.0,0.2615304870591967,0.0,0.29342998401361603,0.0,0.15109057128671644,0.0,1
50,2,30,8,0.1839348598515953,0.0,0.7720513639519941,0.0,0.7235513613189909,0.0,17.85647834067924,0.0,0.2623123053989353,0.0,0.2934298759778386,0.0,0.15109057144123647,0.0,1
50,2,15,15,0.18365308728520005,0.0,0.7145713882086938,0.0,0.7101146320467604,0.0,16.904646986332985,0.0,0.26089690543657396,0.0,0.29999292200935435,0.0,0.152607181200135,0.0,1
50,2,15,8,0.18512111298315595,0.0,0.7381678847014257,0.0,0.7101147888042073,0.0,17.56359920866899,0.0,0.2632078080410686,0.0,0.2999929259222761,0.0,0.15260718264816714,0.0,1
40,2,30,15,0.19778920487114648,0.0,0.5974545611300355,0.0,0.6719622043651302,0.0,16.788795411491353,0.0,0.27154345677022584,0.0,0.302281547149225,0.0,0.16458277991931422,0.0,1
40,2,30,8,0.1977892048284745,0.0,0.5974545604460579,0.0,0.6857687041480514,0.0,16.070964170998536,0.0,0.2715434567022805,0.0,0.33466352601884636,0.0,0.16600257258638745,0.0,1
40,2,15,15,0.19895357344487025,0.0,0.6164784541633468,0.0,0.6778486142694192,0.0,15.48049584303931,0.0,0.27247785375210565,0.0,0.30686288385166,0.0,0.16815457377815896,0.0,1
40,2,15,8,0.19895357336835529,0.0,0.6164784524318015,0.0,0.6660084358461974,0.0,14.76429708890259,0.0,0.2724778535128495,0.0,0.32021505518045923,0.0,0.16957947672726353,0.0,1
